State/UTs,Total_population_2011,Total Cases,Active,Discharged,Deaths,Active Ratio (%),Discharge Ratio (%),Death Ratio (%),Rate of Infection
Chhattisgarh,25545198,1005094,297,991234,13563,0.03,98.62,1.35,3.93%
Andhra Pradesh,84580777,2039529,14388,2011063,14078,0.71,98.6,0.69,2.41%
Punjab,27743338,601323,307,584517,16499,0.05,97.21,2.74,2.17%
West Bengal,91276115,1562173,7810,1535699,18664,0.5,98.31,1.19,1.71%
Uttar Pradesh,199812341,1709680,194,1686599,22887,0.01,98.65,1.34,0.86%
Kerala,33406061,4524158,167578,4332897,23683,3.7,95.77,0.52,13.54%
Delhi,16787941,1438517,379,1413053,25085,0.03,98.23,1.74,8.57%
Tamil Nadu,72147030,2647041,16984,2594697,35360,0.64,98.02,1.34,3.67%
Karnataka,61095297,2968543,14386,2916530,37627,0.48,98.25,1.27,4.86%
Maharashtra,112374333,6524498,45229,6340723,138546,0.69,97.18,2.12,5.81%
