State/UTs,Total_population_2011,Total Cases,Active,Discharged,Deaths,Active Ratio (%),Discharge Ratio (%),Death Ratio (%),Rate of Infection
Bihar,104099452,725901,69,716173,9659,0.01,98.66,1.33,0.70%
Dadra and Nagar Haveli and Daman and Diu,586956,10670,0,10666,4,0,99.96,0.04,1.82%
Gujarat,60439692,825737,133,815522,10082,0.02,98.76,1.22,1.37%
Jharkhand,32988134,348125,55,342937,5133,0.02,98.51,1.47,1.06%
Madhya Pradesh,72626809,792402,96,781789,10517,0.01,98.66,1.33,1.09%
Nagaland,1978502,30907,467,29786,654,1.51,96.37,2.12,1.56%
Rajasthan,68548437,954263,91,945218,8954,0.01,99.05,0.94,1.39%
Telengana,35003674,663662,4991,654765,3906,0.75,98.66,0.59,1.90%
Uttar Pradesh,199812341,1709680,194,1686599,22887,0.01,98.65,1.34,0.86%
West Bengal,91276115,1562173,7810,1535699,18664,0.5,98.31,1.19,1.71%
